alg time sample
comparacao 461917 11053
comparacao 225708 12487
comparacao 347333 19285
comparacao 163667 9103
comparacao 3375 142
comparacao 32208 1717
comparacao 531917 30720
comparacao 70167 11112
comparacao 27708 5996
comparacao 27083 6396
comparacao 116542 26786
comparacao 54333 13385
comparacao 87292 21392
comparacao 89417 21187
comparacao 64958 15760
comparacao 41791 10227
comparacao 69083 16954
comparacao 39166 9944
comparacao 110208 28138
comparacao 121959 31078
comparacao 28292 7098
comparacao 71458 18195
comparacao 73416 18585
comparacao 88583 22578
comparacao 65750 17102
comparacao 99542 26252
comparacao 8917 2311
comparacao 74125 19581
comparacao 90917 23999
comparacao 112459 29308
comparacao 119792 31649
comparacao 8000 2003
comparacao 98041 25914
comparacao 110167 28148
comparacao 106667 28174
comparacao 115041 30384
comparacao 66875 17647
comparacao 90166 23616
comparacao 100542 26412
comparacao 92083 24271
comparacao 102709 27115
comparacao 98875 26136
comparacao 99542 25295
comparacao 22750 5681
comparacao 91292 23222
comparacao 38000 9612
comparacao 13708 3384
comparacao 30958 7916
comparacao 52291 13612
comparacao 66500 17581
comparacao 57083 14935
comparacao 50792 13240
comparacao 44666 11804
comparacao 88208 23292
comparacao 20458 5313
comparacao 16833 4411
comparacao 107917 28322
comparacao 65666 13716
comparacao 62541 16495
comparacao 8166 2064
comparacao 104084 27461
comparacao 114375 30230
comparacao 105750 27964
comparacao 34625 9113
comparacao 16750 4303
comparacao 52750 13400
comparacao 20750 5405
comparacao 110166 29065
comparacao 95875 25328
comparacao 14459 3789
comparacao 97041 25118
comparacao 52667 13872
comparacao 101416 26769
comparacao 83250 21938
comparacao 116667 30752
comparacao 24708 6533
comparacao 2083 505
comparacao 59334 15614
comparacao 29625 7764
comparacao 24500 6389
comparacao 4625 1186
comparacao 69875 16647
comparacao 4500 1142
comparacao 53917 18926
comparacao 52541 14553
comparacao 49125 10740
comparacao 48625 8138
comparacao 53042 14634
comparacao 20542 5400
comparacao 41334 23014
comparacao 58042 23511
comparacao 61834 29372
comparacao 55750 21283
comparacao 55667 20965
comparacao 26000 6886
comparacao 45958 32475
comparacao 54875 15077
comparacao 25625 6540
comparacao 33125 16953
comparacao 59000 24434
